Loading rom...Done
                   x |   x |   x, loadOut:x --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||x outputRow: xxxxxxxxxxxxxxxx
                  16 |  43 |  47, loadOut:0 --- inputRow: 87898a8b8b8c8e9090919293959798 ||1 outputRow: 8b8c8b898a898888
                  16 |  44 |  48, loadOut:0 --- inputRow: 87898a8b8b8c8e9090919293959798 ||1 outputRow: 898a898887878686
                  16 |  45 |  49, loadOut:0 --- inputRow: 87898a8b8b8c8e9090919293959798 ||1 outputRow: 8889888787878684
                  16 |  46 |  50, loadOut:0 --- inputRow: 87898a8b8b8c8e9090919293959798 ||1 outputRow: 8888878786868585
                  16 |  47 |  51, loadOut:0 --- inputRow: 87898a8b8b8c8e9090919293959798 ||1 outputRow: 8787868786858584
                  16 |  48 |   2, loadOut:0 --- inputRow: 87898a8b8b8c8e9090919293959798 ||1 outputRow: 8b8c8c8d8f8f9092
                  17 |  49 |   3, loadOut:0 --- inputRow: 87898b8b8c8c8e9090919294959798 ||1 outputRow: 8b8c8c8d8f8f9092
                  18 |  50 |   4, loadOut:0 --- inputRow: 88898b8c8c8d8f9091929394969799 ||0 outputRow: 8b8c8c8d8f909192
                  19 |  51 |   5, loadOut:0 --- inputRow: 888a8c8d8d8e8f9191929395969899 ||0 outputRow: 8b8c8e9090919293
                  20 |   2 |   6, loadOut:0 --- inputRow: 898b8c8d8d8e90929293949697999a ||0 outputRow: 8c8c8e9090919294
                  21 |   3 |   7, loadOut:0 --- inputRow: 8a8b8d8e8e8f91929393959698999a ||0 outputRow: 8c8d8f9091929394
                  22 |   4 |   8, loadOut:0 --- inputRow: 8a8c8e8e8f8f919393949597989a9b ||0 outputRow: 8d8e8f9191929395
                  23 |   5 |   9, loadOut:0 --- inputRow: 8a8c8e8f8f90919394949597999a9b ||0 outputRow: 8d8e909292939496
                  24 |   6 |  10, loadOut:0 --- inputRow: 8c8c8d8f91929394959799999a9a9c ||0 outputRow: 8e8f919292939596
                  25 |   7 |  11, loadOut:0 --- inputRow: 8c8d8e8f919294949597999a9a9b9d ||0 outputRow: 8f8f919393949597
                  26 |   8 |  12, loadOut:0 --- inputRow: 8c8d8e90919394959698999a9a9b9d ||0 outputRow: 8f90919394949597
                  27 |   9 |  13, loadOut:0 --- inputRow: 8d8e8f909294959597989a9b9b9c9e ||0 outputRow: 9192939495979999
                  28 |  10 |  14, loadOut:1 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||0 outputRow: 919294949597999a
                  28 |  11 |  15, loadOut:1 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||0 outputRow: 919394959698999a
                  28 |  12 |  16, loadOut:1 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||0 outputRow: 919394959698999a
                  28 |  13 |  17, loadOut:1 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||0 outputRow: 919394959698999a
                  28 |  14 |  18, loadOut:1 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||0 outputRow: 919394959698999a
                  28 |  15 |  19, loadOut:1 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||0 outputRow: 919394959698999a
                  28 |  16 |  20, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9695959493939291
                  28 |  17 |  21, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9594939392919190
                  28 |  18 |  22, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 939292919190908f
                  28 |  19 |  23, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 92929191908f8f8e
                  28 |  20 |  24, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 929191908f908f8c
                  28 |  21 |  25, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 91908f8f8e8d8d8c
                  28 |  22 |  26, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 8f8e8d8d8c8b8c8c
                  28 |  23 |  27, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 8e8d8d8c8b8b8a8b
                  28 |  24 |  28, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9795959494939292
                  28 |  25 |  29, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9793949392929190
                  28 |  26 |  30, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 959292919190908f
                  28 |  27 |  31, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9392929191908f90
                  28 |  28 |  32, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 92929190908f8e8f
                  28 |  29 |  33, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 918f908f8e8e8d8c
                  28 |  30 |  34, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 908e8e8d8c8c8b8a
                  28 |  31 |  35, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 8f8d8e8d8c8c8b8a
                  28 |  32 |  36, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9894969494939292
                  28 |  33 |  37, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9793939292919190
                  28 |  34 |  38, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 949292919190908f
                  28 |  35 |  39, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9392929191908f90
                  28 |  36 |  40, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 92919190908f8e8f
                  28 |  37 |  41, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 918f8f8f8d8e8d8b
                  28 |  38 |  42, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 908e8e8d8d8c8b8b
                  28 |  39 |  43, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 8f8d8e8d8c8c8b8a
                  28 |  40 |  44, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9896969595949393
                  28 |  41 |  45, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9894959493939291
                  28 |  42 |  46, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9693939292919190
                  28 |  43 |  47, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 949392919190908f
                  28 |  44 |  48, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 9392929191908f90
                  28 |  45 |  49, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 929091908f8f8e8e
                  28 |  46 |  50, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 918f8f8e8d8d8c8b
                  28 |  47 |  51, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 908e8e8d8d8c8b8b
                  28 |  48 |   2, loadOut:0 --- inputRow: 8e8e8f919394959697999b9b9c9d9e ||1 outputRow: 919394959698999a
                  29 |  49 |   3, loadOut:0 --- inputRow: 8e8f90929395969798999b9c9c9d9f ||1 outputRow: 919394959698999a
                  30 |  50 |   4, loadOut:0 --- inputRow: 8f8f919294959697989a9c9d9d9e9f ||0 outputRow: 9294949597989a9b
